booking_date,travel_date,destination,package_type,booking_channel,quantity,booking_amount,discount_amount,booking_status,payment_method,agent_name,trip_duration_days,customer_type,city,state,country,age,registration_date,loyalty_tier,preferred_destination
2024-08-17,2025-04-21,London,Luxury,Mobile App,1,4150,195,Cancelled,Bank Transfer,Bob,14,Guest,Singapore,SG,USA,65,2023-10-05,Bronze,Tokyo
2025-09-28,2026-09-21,Bangkok,Standard,Agent,3,4795,7,Completed,UPI,Charlie,7,Guest,Paris,SG,France,48,2025-02-07,Gold,Rome
2024-07-04,2025-05-27,Bangkok,Luxury,Mobile App,1,250,36,Pending,Bank Transfer,Alice,3,Guest,Singapore,SG,USA,23,2024-05-27,Bronze,Sydney
2024-08-08,2026-01-21,Dubai,Premium,Mobile App,0,4545,94,Cancelled,Bank Transfer,Charlie,14,Registered,New York,,France,57,2025-04-13,Gold,Rome
2024-02-23,2025-06-09,Paris,Luxury,Website,1,895,69,Cancelled,Bank Transfer,Dana,9,Registered,Singapore,SG,UAE,73,2022-11-01,Silver,Sydney
2025-02-28,2025-10-07,Paris,Luxury,Website,3,3821,110,Completed,UPI,Dana,10,Registered,New York,NY,France,68,2022-04-25,Silver,Rome
2024-02-16,2025-08-14,Dubai,Luxury,Website,1,2726,52,Cancelled,Card,Bob,14,Registered,New York,,UK,73,2024-03-24,Gold,Rome
2024-12-01,2025-05-03,Tokyo,Premium,Agent,4,2571,44,Completed,UPI,Bob,10,Registered,New York,SG,Singapore,61,2023-02-08,Silver,Sydney
2024-03-14,2026-02-11,Tokyo,Premium,Website,4,3101,19,Cancelled,Bank Transfer,Dana,11,Registered,Singapore,SG,UK,73,2022-05-23,Silver,Sydney
2024-10-23,2025-04-28,Dubai,Standard,Mobile App,2,3621,158,Cancelled,Bank Transfer,Charlie,3,Registered,Paris,DXB,UK,66,2024-08-09,Gold,Sydney
2024-09-06,2026-03-23,Bangkok,Premium,Agent,1,-500,101,Cancelled,Bank Transfer,Charlie,5,Registered,Paris,,USA,64,2023-01-30,Silver,Tokyo
2024-03-19,2026-06-07,Tokyo,Luxury,Agent,2,1577,198,Cancelled,UPI,Bob,5,Registered,Singapore,DXB,UAE,18,2023-12-22,Silver,Sydney
2024-09-19,2025-07-22,Paris,Luxury,Website,1,1399,45,Pending,UPI,Dana,14,Registered,Dubai,SG,UAE,25,2023-05-23,Bronze,Tokyo
2025-04-04,2026-11-29,Bangkok,Luxury,Agent,5,4947,82,Pending,UPI,Bob,9,Guest,Paris,SG,France,70,2022-01-06,Silver,Rome
2025-03-28,2026-10-09,London,Premium,Agent,1,4041,90,Pending,Card,Charlie,9,Registered,Singapore,NY,UAE,42,2024-08-16,Gold,Rome
2024-02-28,2026-01-13,London,Standard,Agent,1,508,157,Pending,Bank Transfer,Dana,9,Registered,London,DXB,USA,73,2022-01-26,Gold,Rome
2024-02-12,2026-04-06,Bangkok,Luxury,Website,3,4740,154,Cancelled,Bank Transfer,Bob,2,Registered,New York,IDF,UAE,63,2024-02-20,Silver,Bangkok
2024-12-17,2025-03-28,Bangkok,Luxury,Website,1,1047,63,Pending,UPI,Dana,10,Registered,London,DXB,USA,73,2022-01-26,Gold,Rome
2025-01-07,2026-01-17,London,Premium,Mobile App,3,1500,173,Pending,Card,Charlie,3,Registered,Paris,IDF,USA,72,2022-11-26,Silver,Sydney
2025-07-25,2026-11-26,Dubai,Premium,Mobile App,5,974,38,Cancelled,Card,Bob,7,Guest,New York,,UAE,42,2025-04-11,Gold,Tokyo
